date,vessel,type,class
Royal Navy,8 Aug 1943,HMS MGB 64 (MGB 64),Motor Gun Boat
US Navy,8 Aug 1943,USS PT 113,Motor torpedo boat
US Navy,9 Aug 1943,USS LCT 311 (LCT 311),Landing craft tank
US Navy,10 Aug 1943,USS LST 318 (LST 318),Tank landing ship
Royal Navy,14 Aug 1943,HMS Saracen (P 247),Submarine
Royal Navy,15 Aug 1943,HMS LST 414 (LST 414),Tank landing ship
Royal Navy,15 Aug 1943,HMS MTB 665 (MTB 665),Motor Torpedo Boat
US Navy,17 Aug 1943,USS LCI(L)-1 (LCI(L)-1),Landing Craft Infantry
Royal Navy,18 Aug 1943,HMS LCT 301 (LCT 301),Landing Craft Tank
Royal Navy,18 Aug 1943,HMS LCT 416 (LCT 416),Landing Craft Tank
US Navy,18 Aug 1943,USS LST 396 (LST 396),Tank landing ship
US Navy,23 Aug 1943,USS SC-694 (SC-694),Submarine chaser
US Navy,23 Aug 1943,USS SC-696 (SC-696),Submarine chaser
Soviet Navy,26 Aug 1943,USSR ShCh-203,Submarine
Royal Navy,27 Aug 1943,HMS Egret (L 75 / U 75),Sloop
US Navy,27 Aug 1943,USS LCT 319 (LCT 319),Landing craft tank
US Navy,31 Aug 1943,USS LCT 154 (LCT 154),Landing craft tank
Soviet Navy,Sep 1943,USSR K-1,Submarine
Royal Navy,Sep 1943,HMS LCI(L)-107 (LCI(L)-107),Landing Craft Infantry
US Navy,4 Sep 1943,USS LCI(L)-339 (LCI(L)-339),Landing Craft Infantry
Royal Navy,5 Sep 1943,HMS ML 108 (ML 108),Motor Launch
Royal Navy,6 Sep 1943,HMS Puckeridge (L 108),Escort destroyer
US Navy,7 Sep 1943,USS PT 118,Motor torpedo boat
US Navy,7 Sep 1943,USS PT 172,Motor torpedo boat
Royal Navy,8 Sep 1943,HMS LCT 624 (LCT 624),Landing Craft Tank
Royal Navy,8 Sep 1943,HMS MTB 77 (MTB 77),Motor Torpedo Boat
US Navy,9 Sep 1943,USS Grayling (209),Submarine
US Navy,9 Sep 1943,USS LCT 366 (LCT 366),Landing craft tank
Royal Navy,9 Sep 1943,HMS LCT 572 (LCT 572),Landing Craft Tank
Royal Navy,9 Sep 1943,HMS LCT 626 (LCT 626),Landing Craft Tank
Royal Indian Navy,9 Sep 1943,HMIS MTB 284 (MTB 284),Motor Torpedo Boat
Royal Indian Navy,9 Sep 1943,HMIS MTB 285 (MTB 285),Motor Torpedo Boat
US Navy,9 Sep 1943,USS Nauset (AT 89),Fleet tug
Royal Navy,10 Sep 1943,HMS Abdiel (M 39),Minelayer
US Navy,11 Sep 1943,USS LCT 71 (LCT 71),Landing craft tank
US Navy,11 Sep 1943,USS Rowan (DD 405),Destroyer
US Navy,12 Sep 1943,USS Navajo (AT 64),Fleet tug
Royal Hellenic Navy,14 Sep 1943,RHS Katsonis (Y 1),Submarine
US Navy,15 Sep 1943,USS LCT 19 (LCT 19),Landing craft tank
US Navy,15 Sep 1943,USS LCT 241 (LCT 241),Landing craft tank
US Navy,17 Sep 1943,USS Pompano (181),Submarine
US Navy,17 Sep 1943,USS PT 136,Motor torpedo boat
Royal Navy,19 Sep 1943,HMS BYMS 2019 (J 819),Minesweeper
Royal Canadian Navy,20 Sep 1943,HMCS St. Croix (I 81),Destroyer
Royal Navy,21 Sep 1943,HMS Polyanthus (K 47),Corvette
Royal Navy,23 Sep 1943,HMS Itchen (K 227),Frigate
Italian Navy,24 Sep 1943,IT Francesco Stocco,Torpedo boat
Royal Navy,24 Sep 1943,HMS MMS 70 (J 570),Motor minesweeper
Royal Navy,25 Sep 1943,HMS Donna Nook (FY 1559),MS Trawler
Royal Navy,25 Sep 1943,HMS Franc Tireur (FY 1560),MS Trawler
Italian Navy,25 Sep 1943,IT Giuseppe Sirtori,Torpedo boat
US Navy,25 Sep 1943,USS LST 167 (LST 167),Tank landing ship
US Navy,25 Sep 1943,USS Skill (AM 115),Minesweeper
Royal Navy,26 Sep 1943,HMS Intrepid (D 10),Destroyer
Royal Hellenic Navy,26 Sep 1943,RHS Vasilissa Olga (D 15),Destroyer
Italian Navy,27 Sep 1943,IT Enrico Cosenz,Torpedo boat
US Navy,28 Sep 1943,USS Cisco (290),Submarine
US Navy,29 Sep 1943,USS LCT 342 (LCT 342),Landing craft tank
Royal Navy,30 Sep 1943,HMS LCT 2231 (LCT 2231),Landing craft tank
Royal Navy,30 Sep 1943,HMS LST 79 (LST 79),Tank landing ship
US Navy,30 Sep 1943,USS PT 68,Motor torpedo boat
Royal Navy,Oct 1943,HMS HDML 1015 (ML 1015),Harbour Defence Motor Launch
Royal Navy,Oct 1943,HMS LCI(L)-309 (LCI(L)-309),Landing Craft Infantry
Soviet Navy,Oct 1943,USSR M-172,Submarine
Soviet Navy,Oct 1943,USSR M-174,Submarine
Soviet Navy,Oct 1943,USSR ShCh-403,Submarine
Royal Navy,Oct 1943,HMS Usurper (P 56),Submarine
Italian Navy,1 Oct 1943,IT Euro,Destroyer
Royal Navy,1 Oct 1943,HMS LCT 553 (LCT 553),Landing Craft Tank
US Navy,1 Oct 1943,USS LST 203 (LST 203),Tank landing ship
US Navy,2 Oct 1943,USS LCT 496 (LCT 496),Landing craft tank
Royal Navy,2 Oct 1943,HMS LCT 618 (LCT 618),Landing Craft Tank
US Navy,3 Oct 1943,USS Henley (i) (DD 391),Destroyer
Royal Navy,3 Oct 1943,HMS Meror (FY 1836),MS Trawler
Italian Navy,5 Oct 1943,IT Legnano,Minelayer
US Navy,5 Oct 1943,USS LST 448 (LST 448),Tank landing ship
Soviet Navy,6 Oct 1943,USSR Besposhchadny,Destroyer
Soviet Navy,6 Oct 1943,USSR Kharkov,Flotilla leader
Soviet Navy,6 Oct 1943,USSR Sposobny,Destroyer
US Navy,7 Oct 1943,USS Chevalier (i) (DD 451),Destroyer
US Navy,7 Oct 1943,USS LCT 215 (LCT 215),Landing craft tank
US Navy,7 Oct 1943,USS LCT 216 (LCT 216),Landing craft tank
Royal Navy,7 Oct 1943,HMS LCT 621 (LCT 621),Landing Craft Tank
US Navy,7 Oct 1943,USS S-44 (155),Submarine
Polish Navy,8 Oct 1943,ORP Orkan (G 90),Destroyer
US Navy,9 Oct 1943,USS Buck (DD 420),Destroyer
Royal Navy,9 Oct 1943,HMS Panther (G 41),Destroyer
Royal Navy,11 Oct 1943,HMS HDML 1054 (ML 1054),Harbour Defence Motor Launch
Royal Navy,11 Oct 1943,HMS Hythe (J 194),Minesweeper
Royal Navy,11 Oct 1943,HMS LCT 3 (LCT 3),Landing Craft Tank
US Navy,11 Oct 1943,USS Wahoo (238),Submarine
US Navy,12 Oct 1943,USS Dorado (248),Submarine
Royal Navy,12 Oct 1943,HMS ML 835 (ML 835),Motor Launch
US Navy,13 Oct 1943,USS Bristol (i) (DD 453),Destroyer
Royal Navy,15 Oct 1943,HMS MGB 636 (MGB 636),Motor Gun Boat
Royal Navy,16 Oct 1943,HMS MTB 356 (MTB 356),Motor Torpedo Boat
Royal Navy,17 Oct 1943,HMS Trooper (N 91),Submarine
Royal Navy,22 Oct 1943,HMS Hurworth (L 28),Escort destroyer
Royal Navy,22 Oct 1943,HMS Orfasy (T 204),MS Trawler
Royal Navy,23 Oct 1943,HMS Charybdis (88),Light cruiser
Royal Navy,23 Oct 1943,HMS Cromarty (J 09),Minesweeper
Royal Navy,23 Oct 1943,HMS Limbourne (L 57),Escort destroyer
Royal Navy,24 Oct 1943,HMS Eclipse (H 08),Destroyer
Royal Navy,25 Oct 1943,HMS William Stephen (FY 806),MS Trawler
Royal Navy,26 Oct 1943,HMS ML 579 (ML 579),Motor Launch
Royal Navy,26 Oct 1943,HMS MTB 669 (MTB 669),Motor Torpedo Boat
Royal Navy,26 Oct 1943,HMS Tien Hsing,Tug
Soviet Navy,28 Oct 1943,USSR A-3,Submarine
Royal Navy,28 Oct 1943,HMS LCT 115 (LCT 115),Landing Craft Tank
Royal Canadian Navy,31 Oct 1943,HMCS Chedabucto (J 168),Minesweeper
Royal Navy,Nov 1943,HMS Simoom (P 225),Submarine
US Navy,2 Nov 1943,USS Borie (i) (DD 215),Destroyer
Royal Navy,4 Nov 1943,HMS LCT 583 (LCT 583),Landing Craft Tank
Royal Navy,4 Nov 1943,HMS MGB 606 (MGB 606),Motor Gun Boat
US Navy,6 Nov 1943,USS Beatty (DD 640),Destroyer
Royal Navy,9 Nov 1943,HMS MTB 230 (MTB 230),Motor Torpedo Boat
Royal Navy,10 Nov 1943,HMS MTB 222 (MTB 222),Motor Torpedo Boat
Royal Navy,11 Nov 1943,HMS HDML 1244 (ML 1244),Harbour Defence Motor Launch
Royal Navy,11 Nov 1943,HMS HDML 1289 (ML 1289),Harbour Defence Motor Launch
Royal Navy,12 Nov 1943,HMS ML 358 (ML 358),Motor Launch
Royal Navy,13 Nov 1943,HMS Dulverton (L 63),Escort destroyer
Royal Navy,14 Nov 1943,HMS LCT 333 (LCT 333),Landing Craft Tank
Royal Navy,14 Nov 1943,HMS LCT 343 (LCT 343),Landing Craft Tank
Royal Navy,14 Nov 1943,HMS LCT 385 (LCT 385),Landing Craft Tank
US Navy,16 Nov 1943,USS Corvina (226),Submarine
Royal Navy,16 Nov 1943,HMS LCT 332 (LCT 332),Landing Craft Tank
Royal Navy,16 Nov 1943,HMS LCT 418 (LCT 418),Landing Craft Tank
US Navy,17 Nov 1943,USS McKean (i) (APD 5),Destroyer
US Navy,19 Nov 1943,USS PT 147,Motor torpedo boat
US Navy,19 Nov 1943,USS SC-1067 (SC-1067),Submarine chaser
US Navy,19 Nov 1943,USS Sculpin (191),Submarine
Royal Navy,22 Nov 1943,HMS Barflake (Z 184),Boom defence vessel
Royal Navy,22 Nov 1943,HMS Hebe (J 24),Minesweeper
Royal Norwegian Navy,22 Nov 1943,HNoMS MGB 626 (MGB 626),Motor Gun Boat
Royal Navy,22 Nov 1943,HMS MTB 686 (MTB 686),Motor Torpedo Boat
US Navy,23 Nov 1943,USS Capelin (289),Submarine
Royal Navy,23 Nov 1943,HMS LCT 329 (LCT 329),Landing Craft Tank
US Navy,23 Nov 1943,USS PT 322,Motor torpedo boat
Royal Navy,23 Nov 1943,HMS Santa (FY 1986),MS Whaler
US Navy,24 Nov 1943,USS Liscome Bay (CVE 56),Escort carrier
Royal Navy,24 Nov 1943,HMS MTB 73 (MTB 73),Motor Torpedo Boat
Royal Navy,27 Nov 1943,HMS ML 126 (ML 126),Motor Launch
US Navy,29 Nov 1943,USS Perkins (DD 377),Destroyer
Soviet Navy,Dec 1943,USSR D-4 / Revolutsyoner,Submarine
Soviet Navy,Dec 1943,USSR S-55,Submarine
Royal Navy,1 Dec 1943,HMS Aventurine (FY 1886),MS Trawler
US Navy,2 Dec 1943,USS LCT 242 (LCT 242),Landing craft tank
Royal Navy,7 Dec 1943,HMS LCT 375 (LCT 375),Landing Craft Tank
Royal Navy,8 Dec 1943,HMS Rysa (T 164),MS Trawler
Royal Navy,12 Dec 1943,HMS Holcombe (L 56),Escort destroyer
Royal Navy,12 Dec 1943,HMS Tynedale (L 96),Escort destroyer
US Navy,14 Dec 1943,USS PT 239,Motor torpedo boat
Royal Navy,18 Dec 1943,HMS Felixstowe (J 126),Minesweeper
Royal Navy,22 Dec 1943,HMS BV 42,Barrage / Gate vessel
Royal Navy,24 Dec 1943,HMS HDML 1388 (ML 1388),Harbour Defence Motor Launch
Royal Navy,24 Dec 1943,HMS Hurricane (H 06),Destroyer
US Navy,24 Dec 1943,USS Leary (i) (DD 158),Destroyer
Royal Navy,25 Dec 1943,HMS Kingston Beryl (4.03),ASW Trawler
US Navy,27 Dec 1943,USS Brownson (i) (DD 518),Destroyer
Italian Navy,28 Dec 1943,IT Axum,Submarine
French Navy,29 Dec 1943,FR Protée,Submarine
Royal Navy,31 Dec 1943,HMS Clacton (J 151),Minesweeper
Royal Navy,31 Dec 1943,HMS HDML 1121 (ML 1121),Harbour Defence Motor Launch
Royal Navy,1944,HMS LCT 757 (LCT 757),Landing Craft Tank
Royal Navy,1944,HMS MFV 120 (MFV 120),Motor Fishing Vessel
Royal Navy,Jan 1944,HMS LCI(L)-124 (LCI(L)-124),Landing Craft Infantry
US Navy,3 Jan 1944,USS Turner (ii) (DD 648),Destroyer
Soviet Navy,4 Jan 1944,USSR M-36,Submarine
US Navy,4 Jan 1944,USS PT 145,Motor torpedo boat
Royal Navy,6 Jan 1944,HMS Wallasea (T 345),MS Trawler
Royal Navy,7 Jan 1944,HMS Tweed (K 250),Frigate
Royal Navy,14 Jan 1944,HMS Adherent (W 108),Rescue Tug
Royal Navy,16 Jan 1944,HMS LCT 1029 (LCT 1029),Landing Craft Tank
Soviet Navy,17 Jan 1944,USSR L-23,Submarine
US Navy,19 Jan 1944,USS LST 228 (LST 228),Tank landing ship
US Navy,22 Jan 1944,USS LCI(L)-20 (LCI(L)-20),Landing Craft Infantry
US Navy,22 Jan 1944,USS LCI(L)-32 (LCI(L)-32),Landing Craft Infantry
US Navy,22 Jan 1944,USS Portent (AM 106),Minesweeper
Royal Navy,23 Jan 1944,HMS Janus (F 53),Destroyer
US Navy,24 Jan 1944,USS LCT 185 (LCT 185),Landing craft tank
US Navy,25 Jan 1944,USS YMS-30 (YMS-30),Minesweeper
Royal Navy,26 Jan 1944,HMS LST 411 (LST 411),Tank landing ship
Royal Navy,26 Jan 1944,HMS LST 422 (LST 422),Tank landing ship
US Navy,26 Jan 1944,USS PT 110,Motor torpedo boat
Royal Navy,29 Jan 1944,HMS Oracle (FY 020),Armed Yacht
Royal Navy,29 Jan 1944,HMS Spartan (95),Light cruiser
Royal Navy,30 Jan 1944,HMS Hardy (ii) (R 08),Destroyer
Royal Navy,31 Jan 1944,HMS Pine (T 101),MS Trawler
Royal Norwegian Navy,8 Feb 1944,HNoMS MGB 625 (MGB 625),Motor Gun Boat
US Navy,11 Feb 1944,USS PT 279,Motor torpedo boat
US Navy,12 Feb 1944,USS Macaw (ASR 11),Submarine rescue vessel
Royal Navy,13 Feb 1944,HMS Cap d Antifer (FY 340),MS Trawler
US Navy,13 Feb 1944,USS LCT 220 (LCT 220),Landing craft tank
Royal Navy,14 Feb 1944,HMS Salviking,Salvage vessel
US Navy,15 Feb 1944,USS LCT 35 (LCT 35),Landing craft tank
Royal Norwegian Navy,15 Feb 1944,HNoMS ML 210 (ML 210),Motor Launch
Royal Navy,16 Feb 1944,HMS LST 418 (LST 418),Tank landing ship
Soviet Navy,17 Feb 1944,USSR ShCh-216,Submarine
Royal Navy,18 Feb 1944,HMS Breda (4.84),Armed Yacht
Royal Navy,18 Feb 1944,HMS Penelope (97),Light cruiser
Royal Navy,20 Feb 1944,HMS HDML 1083 (ML 1083),Harbour Defence Motor Launch
US Navy,20 Feb 1944,USS LCT 340 (LCT 340),Landing craft tank
Royal Navy,20 Feb 1944,HMS LST 305 (LST 305),Tank landing ship
US Navy,20 Feb 1944,USS LST 348 (LST 348),Tank landing ship
Royal Navy,20 Feb 1944,HMS Warwick (D 25),Destroyer
US Navy,22 Feb 1944,USS PT 200,Motor torpedo boat
Royal Navy,25 Feb 1944,HMS Inglefield (D 02),Destroyer
US Navy,25 Feb 1944,USS LCT 26 (LCT 26),Landing craft tank
Royal Navy,25 Feb 1944,HMS Mahratta (G 23),Destroyer
US Navy,26 Feb 1944,USS Ailanthus (AN 38),Net tender
US Navy,26 Feb 1944,USS LCT 36 (LCT 36),Landing craft tank
US Navy,26 Feb 1944,USS LST 349 (LST 349),Tank landing ship
US Navy,26 Feb 1944,USS PT 251,Motor torpedo boat
US Navy,27 Feb 1944,USS Grayback (208),Submarine
Royal Navy,27 Feb 1944,HMS MFV 70 (MFV 70),Motor Fishing Vessel
Royal Navy,27 Feb 1944,HMS Woodpecker (U 08),Sloop
Soviet Navy,28 Feb 1944,USSR M-108,Submarine
US Navy,29 Feb 1944,USS Trout (202),Submarine
Soviet Navy,Mar 1944,USSR S-54,Submarine
Royal Navy,Mar 1944,HMS Syrtis (P 241),Submarine
Royal Navy,1 Mar 1944,HMS Gould (K 476),Frigate
Royal Navy,2 Mar 1944,HMS LST 362 (LST 362),Tank landing ship
Royal Navy,5 Mar 1944,HMS ML 387 (ML 387),Motor Launch
US Navy,6 Mar 1944,USS Scorpion (278),Submarine
US Navy,7 Mar 1944,USS PT 337,Motor torpedo boat
US Navy,9 Mar 1944,USS Leopold (DE 319),Destroyer Escort
Royal Navy,10 Mar 1944,HMS Asphodel (K 56),Corvette
US Navy,10 Mar 1944,USS SC-700 (SC-700),Submarine chaser
Royal Navy,16 Mar 1944,HMS MTB 417 (MTB 417),Motor Torpedo Boat
US Navy,17 Mar 1944,USS PT 283,Motor torpedo boat
Royal Navy,22 Mar 1944,HMS Stonehenge (P 232),Submarine
US Navy,23 Mar 1944,USS LCT 315 (LCT 315),Landing craft tank
Royal Navy,25 Mar 1944,HMS MTB 352 (MTB 352),Motor Torpedo Boat
US Navy,26 Mar 1944,USS Tullibee (284),Submarine
Royal Navy,27 Mar 1944,HMS Globe VI (J 136),MS Whaler
Royal Navy,27 Mar 1944,HMS LCI(L)-273 (LCI(L)-273),Landing Craft Infantry
US Navy,27 Mar 1944,USS PT 121,Motor torpedo boat
US Navy,27 Mar 1944,USS PT 353,Motor torpedo boat
Royal Navy,30 Mar 1944,HMS Laforey (G 99),Destroyer
Royal Navy,31 Mar 1944,HMS MTB 241 (MTB 241),Motor Torpedo Boat
US Navy,10 Apr 1944,USS SC-984 (SC-984),Submarine chaser
US Navy,11 Apr 1944,USS Holder (DE 401),Destroyer Escort
US Navy,12 Apr 1944,USS PT 135,Motor torpedo boat
Royal Indian Navy,14 Apr 1944,HMIS El Hind (F 120),Landing Ship Infantry
Royal Navy,17 Apr 1944,HMS MTB 266 (MTB 266),Motor Torpedo Boat
US Navy,18 Apr 1944,USS Gudgeon (211),Submarine
Soviet Navy,18 Apr 1944,USSR L-6,Submarine
US Navy,20 Apr 1944,USS Lansdale (DD 426),Destroyer
Royal Navy,24 Apr 1944,HMS LST 407 (LST 407),Tank landing ship
Royal Navy,24 Apr 1944,HMS MTB 671 (MTB 671),Motor Torpedo Boat
Royal Navy,24 Apr 1944,HMS Roode Zee (W 162),Rescue Tug
US Navy,28 Apr 1944,USS LST 507 (LST 507),Tank landing ship
US Navy,28 Apr 1944,USS LST 531 (LST 531),Tank landing ship
Royal Canadian Navy,29 Apr 1944,HMCS Athabaskan (i) (G 07),Destroyer
US Navy,29 Apr 1944,USS PT 346,Motor torpedo boat
US Navy,29 Apr 1944,USS PT 347,Motor torpedo boat
French Navy,30 Apr 1944,FR Tahure,Gunboat
Royal Navy,1 May 1944,HMS HDML 1380 (ML 1380),Harbour Defence Motor Launch
US Navy,5 May 1944,USS Fechteler (i) (DE 157),Destroyer Escort
Royal Navy,5 May 1944,HMS MTB 708 (MTB 708),Motor Torpedo Boat
US Navy,5 May 1944,USS PT 247,Motor torpedo boat
Royal Canadian Navy,7 May 1944,HMCS Valleyfield (K 329),Frigate
US Navy,9 May 1944,USS PC-558 (PC-558),Patrol craft
Royal Dutch Navy,18 May 1944,HNMS MTB 203 / Arend (MTB 203),Motor Torpedo Boat
Royal Dutch Navy,20 May 1944,HNMS Marken (i) (FY 227),Motor minesweeper
Royal Navy,20 May 1944,HMS Wyoming (FY 1862),MS Trawler
US Navy,21 May 1944,USS LST 179 (LST 179),Tank landing ship
US Navy,21 May 1944,USS LST 353 (LST 353),Tank landing ship
US Navy,21 May 1944,USS LST 39 (LST 39),Tank landing ship
US Navy,21 May 1944,USS LST 43 (LST 43),Tank landing ship
US Navy,21 May 1944,USS LST 480 (LST 480),Tank landing ship
US Navy,21 May 1944,USS LST 69 (LST 69),Tank landing ship
US Navy,27 May 1944,USS PT 339,Motor torpedo boat
Royal Navy,28 May 1944,HMS MTB 732 (MTB 732),Motor Torpedo Boat
US Navy,29 May 1944,USS Block Island (ii) (CVE 21),Escort carrier
Royal Navy,29 May 1944,HMS Kos IX (FY 1725),MS Whaler
Royal Navy,Jun 1944,HMS LCI(L)-105 (LCI(L)-105),Landing Craft Infantry
Royal Navy,Jun 1944,HMS LCI(L)-132 (LCI(L)-132),Landing Craft Infantry
US Navy,Jun 1944,USS LCT 147 (LCT 147),Landing craft tank
US Navy,Jun 1944,USS LCT 200 (LCT 200),Landing craft tank
US Navy,Jun 1944,USS LCT 244 (LCT 244),Landing craft tank
US Navy,Jun 1944,USS LCT 273 (LCT 273),Landing craft tank
US Navy,Jun 1944,USS LCT 301 (LCT 301),Landing craft tank
US Navy,Jun 1944,USS LCT 305 (LCT 305),Landing craft tank
US Navy,Jun 1944,USS LCT 307 (LCT 307),Landing craft tank
US Navy,Jun 1944,USS LCT 402 (LCT 402),Landing craft tank
US Navy,Jun 1944,USS LCT 413 (LCT 413),Landing craft tank
US Navy,Jun 1944,USS LCT 498 (LCT 498),Landing craft tank
Royal Navy,Jun 1944,HMS LCT 524 (LCT 524),Landing Craft Tank
Royal Navy,Jun 1944,HMS LCT 809 (LCT 809),Landing Craft Tank
Royal Navy,Jun 1944,HMS LCT 886 (LCT 886),Landing Craft Tank
Royal Navy,Jun 1944,HMS LCT 947 (LCT 947),Landing Craft Tank
Royal Navy,Jun 1944,HMS Sickle (P 224),Submarine
US Navy,1 Jun 1944,USS Herring (233),Submarine
Royal Navy,5 Jun 1944,HMS LCT 2428 (LCT 2428),Landing craft tank
US Navy,5 Jun 1944,USS LCT 428 (LCT 428),Landing craft tank
US Navy,5 Jun 1944,USS Osprey (AM 56),Minesweeper
US Navy,6 Jun 1944,USS Corry (i) (DD 463),Destroyer
Royal Navy,6 Jun 1944,HMS LCI(L)-185 (LCI(L)-185),Landing Craft Infantry
US Navy,6 Jun 1944,USS LCI(L)-232 (LCI(L)-232),Landing Craft Infantry
US Navy,6 Jun 1944,USS LCI(L)-416 (LCI(L)-416),Landing Craft Infantry
US Navy,6 Jun 1944,USS LCI(L)-497 (LCI(L)-497),Landing Craft Infantry
US Navy,6 Jun 1944,USS LCI(L)-553 (LCI(L)-553),Landing Craft Infantry
US Navy,6 Jun 1944,USS LCI(L)-85 (LCI(L)-85),Landing Craft Infantry
US Navy,6 Jun 1944,USS LCI(L)-91 (LCI(L)-91),Landing Craft Infantry
US Navy,6 Jun 1944,USS LCI(L)-92 (LCI(L)-92),Landing Craft Infantry
US Navy,6 Jun 1944,USS LCI(L)-93 (LCI(L)-93),Landing Craft Infantry
US Navy,6 Jun 1944,USS LCT 197 (LCT 197),Landing craft tank
Royal Navy,6 Jun 1944,HMS LCT 2040 (LCT 2040),Landing craft tank
Royal Navy,6 Jun 1944,HMS LCT 2056 (LCT 2056),Landing craft tank
Royal Navy,6 Jun 1944,HMS LCT 2073 (LCT 2073),Landing craft tank
Royal Navy,6 Jun 1944,HMS LCT 2135 (LCT 2135),Landing craft tank
Royal Navy,6 Jun 1944,HMS LCT 2191 (LCT 2191),Landing craft tank
US Navy,6 Jun 1944,USS LCT 22 (LCT 22),Landing craft tank
Royal Navy,6 Jun 1944,HMS LCT 2283 (LCT 2283),Landing craft tank
US Navy,6 Jun 1944,USS LCT 229 (LCT 229),Landing craft tank
Royal Navy,6 Jun 1944,HMS LCT 2304 (LCT 2304),Landing craft tank
Royal Navy,6 Jun 1944,HMS LCT 2421 (LCT 2421),Landing craft tank
Royal Navy,6 Jun 1944,HMS LCT 2424 (LCT 2424),Landing craft tank
Royal Navy,6 Jun 1944,HMS LCT 2426 (LCT 2426),Landing craft tank
Royal Navy,6 Jun 1944,HMS LCT 2498 (LCT 2498),Landing craft tank
US Navy,6 Jun 1944,USS LCT 25 (LCT 25),Landing craft tank
US Navy,6 Jun 1944,USS LCT 27 (LCT 27),Landing craft tank
US Navy,6 Jun 1944,USS LCT 294 (LCT 294),Landing craft tank
US Navy,6 Jun 1944,USS LCT 30 (LCT 30),Landing craft tank
US Navy,6 Jun 1944,USS LCT 332 (LCT 332),Landing craft tank
US Navy,6 Jun 1944,USS LCT 362 (LCT 362),Landing craft tank
US Navy,6 Jun 1944,USS LCT 364 (LCT 364),Landing craft tank
US Navy,6 Jun 1944,USS LCT 52 (LCT 52),Landing craft tank
Royal Navy,6 Jun 1944,HMS LCT 750 (LCT 750),Landing Craft Tank
Royal Navy,6 Jun 1944,HMS MTB 248 (MTB 248),Motor Torpedo Boat
US Navy,6 Jun 1944,USS PC-1261 (PC-1261),Patrol craft
Royal Norwegian Navy,6 Jun 1944,HNoMS Svenner (G 03),Destroyer
Royal Navy,7 Jun 1944,HMS LCT 1035 (LCT 1035),Landing Craft Tank
Royal Navy,7 Jun 1944,HMS LCT 1124 (LCT 1124),Landing Craft Tank
Royal Navy,7 Jun 1944,HMS LCT 2039 (LCT 2039),Landing craft tank
Royal Navy,7 Jun 1944,HMS LCT 427 (LCT 427),Landing Craft Tank
US Navy,7 Jun 1944,USS LCT 486 (LCT 486),Landing craft tank
Royal Navy,7 Jun 1944,HMS LCT 630 (LCT 630),Landing Craft Tank
Royal Navy,7 Jun 1944,HMS LCT 690 (LCT 690),Landing Craft Tank
Royal Navy,7 Jun 1944,HMS LCT 715 (LCT 715),Landing Craft Tank
Royal Navy,7 Jun 1944,HMS LCT 921 (LCT 921),Landing Craft Tank
US Navy,7 Jun 1944,USS Tide (AM 125),Minesweeper
US Navy,8 Jun 1944,USS Glennon (i) (DD 620),Destroyer
Royal Navy,8 Jun 1944,HMS Lawford (K 514),Frigate
Royal Navy,8 Jun 1944,HMS LCT 875 (LCT 875),Landing Craft Tank
US Navy,8 Jun 1944,USS LST 499 (LST 499),Tank landing ship
US Navy,8 Jun 1944,USS Rich (i) (DE 695),Destroyer Escort
Royal Navy,9 Jun 1944,HMS Durban (D 99),Light cruiser
US Navy,9 Jun 1944,USS LST 314 (LST 314),Tank landing ship
US Navy,9 Jun 1944,USS LST 376 (LST 376),Tank landing ship
US Navy,9 Jun 1944,USS Meredith (ii) (DD 726),Destroyer
US Navy,10 Jun 1944,USS LCT 209 (LCT 209),Landing craft tank
Royal Navy,10 Jun 1944,HMS MTB 681 (MTB 681),Motor Torpedo Boat
US Navy,11 Jun 1944,USS LCI(L)-219 (LCI(L)-219),Landing Craft Infantry
US Navy,11 Jun 1944,USS LST 496 (LST 496),Tank landing ship
Royal Navy,11 Jun 1944,HMS MA/SB 17 (MA/SB 17),Motor Anti-Submarine  Boat
US Navy,11 Jun 1944,USS Partridge (AM 16),Minesweeper
Royal Navy,11 Jun 1944,HMS Sesame (W 144),Rescue Tug
Royal Navy,13 Jun 1944,HMS Boadicea (H 65),Destroyer
Royal Navy,13 Jun 1944,HMS LCT 967 (LCT 967),Landing Craft Tank
Royal Navy,13 Jun 1944,HMS MMS 229 (J 729),Motor minesweeper
Royal Navy,14 Jun 1944,HMS Birdlip (T 218),ASW Trawler
US Navy,14 Jun 1944,USS Golet (361),Submarine
Royal Navy,15 Jun 1944,HMS Mourne (K 261),Frigate
Royal Navy,16 Jun 1944,HMS Blackwood (K 313),Frigate
Royal Navy,16 Jun 1944,HMS LCT 589 (LCT 589),Landing Craft Tank
Royal Navy,16 Jun 1944,HMS Southern Pride (K 249),ASW Whaler
US Navy,18 Jun 1944,USS LCI(L)-468 (LCI(L)-468),Landing Craft Infantry
US Navy,18 Jun 1944,USS PT 107,Motor torpedo boat
US Navy,18 Jun 1944,USS PT 63,Motor torpedo boat
Royal Navy,18 Jun 1944,HMS Quail (G 45),Destroyer
US Navy,19 Jun 1944,USS LST 523 (LST 523),Tank landing ship
US Navy,20 Jun 1944,USS LCT 208 (LCT 208),Landing craft tank
Royal Navy,24 Jun 1944,HMS Lord Austin (FY 220),ASW Trawler
Royal Navy,24 Jun 1944,HMS MMS 8 (J 508),Motor minesweeper
US Navy,24 Jun 1944,USS PT 193,Motor torpedo boat
